Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
1,0,0,1,1,2048,2044,3,2565,3.93109464645386,12.8392753601074
1,0,0,1,1,2820,2817,3,2543,3.89737772941589,13.2903442382813
1,0,0,1,1,2278,2275,3,2580,3.95408368110657,13.2476139068604
1,0,0,1,1,2746,2743,3,2633,4.03531074523926,15.1798458099365
1,0,0,1,1,2242,2238,3,2585,3.96174645423889,10.7856044769287
1,0,0,1,1,2357,2354,3,2589,3.96787691116333,11.5638408660889
1,0,0,1,1,1937,1933,3,2628,4.02764797210693,11.2722969055176
1,0,0,1,1,2005,2002,3,2622,4.01845216751099,12.2396621704102
1,0,0,1,1,2232,2229,3,2646,4.05523443222046,11.6840782165527
1,0,0,1,1,1972,1968,3,2661,4.07822322845459,11.1262845993042
1,0,0,1,1,2161,2158,3,2656,4.07056045532227,11.0861349105835
1,0,0,1,1,2061,2058,2,2680,4.10734272003174,10.175537109375
1,0,0,1,1,1933,1930,3,2702,4.14105939865112,10.6712055206299
1,0,0,1,1,1993,1989,3,2708,4.15025520324707,10.1615409851074
1,0,0,1,1,2060,2057,2,2549,3.90657329559326,9.41744136810303
1,0,0,1,1,3078,3075,3,2608,3.9969961643219,11.5180463790894
1,0,0,1,1,1873,1870,3,2613,4.0046591758728,13.0064516067505
